Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
The Zuri Whitefield,4.3,Excellent,662,5,Whitefield,,,"6,501",780
MAYBAACH HOTELS,4.1,Very Good,79,3,Marathahalli,,,"2,820",660
Regenta Place Bangalore by Royal Orchid Hotels Limited,3.5,Very Good,923,4,Shivaji Nagar ,MG Road,2.2 km ,"2,848",342
Icon Business Hotel by Bhagini,3.6,Very Good,1024,3,HAL old airport road,,,"2,300",465
Sterlings Mac Hotel & Suites,4.1,Very Good,732,5,HAL old airport road,,,"6,768","1,368"
Nexstay Kites Inn,4.3,Excellent,36,3,Hosur road,,,"2,799",
The Leela Palace Bengaluru,4.5,Excellent,1048,5,HAL old airport road,,,"16,500",
Omatra Infantry Road | Rooms in a Homestay,3.8,Very Good,319,,Infantry Road ,MG Road,1.4 km ,"2,098",554
Bloom Hotel HSR Layout Sector 3,3.9,Very Good,24,3,HSR Layout,,,"5,500",
NOOR EMPIRE INTERNATIONAL,3.7,Very Good,1552,3,Koramangala,,,"2,776",752
Attide Biz,3.5,Very Good,468,3,Hebbal,,,"2,835",693
Stayhome Classic,4.3,Excellent,285,,Bilekahalli,,,"2,345",642
DoubleTree Suites by Hilton,4.3,Excellent,849,5,Outer Ring Road,,,"9,500",
Bloomrooms @ Indiranagar,4.1,Very Good,874,3,Indiranagar,,,"4,300",
RG Royal Hotel,4.2,Very Good,875,4,Yeshwanthpur,,,"3,666",741
Four Seasons Hotel Bengaluru at Embassy One,4.8,Excellent,302,5,Ganganagar ,Palace Grounds,990 m ,"14,875",
Ramee Strand inn,3,Good,348,3,Hosur road,,,"1,505",396
Shravanthi Sarovar Portico JP Nagar,3.6,Very Good,139,4,Outer Ring Road,,,"3,977",804
"Vivanta Bengaluru, Whitefield",4.3,Excellent,959,5,Whitefield,,,"7,500",
"Melange Astris
Like a 3",4.1,Very Good,1006,,Richmond road ,Cubbon Park,2.5 km ,"4,300",969
Octave Church Inn,3.5,Very Good,712,3,Church Street ,MG Road,94 m ,"1,669",337
Mastiff Infantry Bengaluru,4,Very Good,221,3,Infantry Road ,MG Road,1.8 km ,"1,865",569
"Country Inn and Suites by Radisson, Sahibabad",4.2,Very Good,15697,5,In Ghaziabad ,Delhi city centre,30.0 km ,"6,249",
Radisson Blu Kaushambi Delhi NCR,4,Very Good,1826,5,In Ghaziabad ,Delhi city centre,28.0 km ,"5,039",605
The Ashok,3.8,Very Good,5694,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"6,288",
Pride Plaza Hotel Aerocity New Delhi,4,Very Good,7275,5,Aerocity ,Indira Gandhi International Airport,4.0 km ,"6,499",780
"Golden Tulip Vasundhara Hotel & Suites, Delhi NCR",3.9,Very Good,2057,4,In Ghaziabad ,Delhi city centre,31.0 km ,"3,386",871
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4,Very Good,9348,5,Sector 10 Dwarka,,,"6,223",
Holiday Inn New Delhi International Airport,4.2,Very Good,5734,5,Aerocity ,Indira Gandhi International Airport,3.8 km ,"6,999",
Novotel New Delhi International Airport- An Accor hotels brand,4.1,Very Good,4534,5,Aerocity ,Indira Gandhi International Airport,4.2 km ,"7,250",
The Suryaa New Delhi,4.1,Very Good,4314,5,New Friends Colony,,,"5,348","1,092"
The Hosteller Delhi | Private Rooms & Dorms,4.3,Excellent,795,,New Friends Colony,,,"2,228",503
The LaLiT New Delhi,4.1,Very Good,7908,5,Connaught Place,,,"9,040","2,430"
Radisson Blu Plaza Delhi Airport,4.3,Excellent,7275,5,Mahipalpur ,Indira Gandhi International Airport,5.2 km ,"4,500",765
Roseate House New Delhi,4.4,Excellent,9130,5,Aerocity ,Indira Gandhi International Airport,3.5 km ,"9,649","1,737"
Lemon Tree Hotel East Delhi Mall Kaushambi,3.9,Very Good,1550,4,In Ghaziabad ,Delhi city centre,24.0 km ,"2,073",752
YWCA OF DELHI BLUE TRIANGLE FAMILY HOSTEL,3.9,Very Good,505,,Connaught Place ,Metro Museum,690 m ,"2,620",770
Hotel Trans International,4.2,Very Good,6933,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,274",465
The Leela Ambience Convention Hotel Delhi,4.4,Excellent,3845,5,East Delhi,,,"7,499",
Jaypee Vasant Continental Hotel,4,Very Good,1696,5,Vasant Vihar ,T1 - Delhi Airport (IGI Airport),7.6 km ,"5,999",
YWCA INTERNATIONAL GUEST HOUSE,3.8,Very Good,412,,Connaught Place ,India Gate,3.0 km ,"2,408",648
Holiday Inn New Delhi Mayur Vihar,4.1,Very Good,2935,5,East Delhi,,,"6,249",
Lemon Tree Premier Delhi Airport,3.9,Very Good,9726,4,Aerocity ,Indira Gandhi International Airport,4.1 km ,"4,464","1,478"
Radisson Blu Marina Hotel Connaught Place,3.8,Very Good,2642,5,Connaught Place,,,"8,000",
The Metropolitan Hotel and Spa,4.1,Very Good,4049,5,Connaught Place,,,"7,500",
The Grand New Delhi,3.8,Very Good,1885,5,Vasant Kunj ,Indira Gandhi International Airport,7.7 km ,"12,899","2,322"
Crowne Plaza Mayur Vihar,4.3,Excellent,3398,5,East Delhi,,,"8,649",
Hotel Smart Plaza,4.3,Excellent,4031,3,Mahipalpur ,Indira Gandhi International Airport,4.4 km ,"1,525",423
Hotel Aero Star,4.3,Excellent,9760,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505
Golden Bliss Near IGI Airport Mahipalpur,3,Good,108,,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,794",811
Hotel International Inn,4.1,Very Good,12005,3,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,199",537
The Park New Delhi,3.5,Very Good,6779,5,Connaught Place ,Connaught Place,730 m ,"7,905","2,125"
ibis New Delhi Aerocity - An Accor Brand,3.7,Very Good,5538,4,Aerocity ,Indira Gandhi International Airport,4.4 km ,"5,100",
goSTOPS Delhi - Rooms & Dorms,4.2,Very Good,1076,,Chandni Chowk ,Red Fort,1.8 km ,"1,481",384
Hotel The Royal Plaza,3.4,Good,10365,4,Connaught Place ,India Gate,2.3 km ,"7,379",885
"Taj Mahal, New Delhi",4.5,Excellent,991,5,Man Singh Road Area ,India Gate,1.2 km ,"12,000",
Hotel Shanti Palace (Mahipalpur),3.7,Very Good,2308,4,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,604",532
Aloft New Delhi Aerocity,4.2,Very Good,2906,5,Aerocity ,Indira Gandhi International Airport,4.1 km ,"6,950",
Radisson Blu Hotel New Delhi Dwarka,3.7,Very Good,7268,5,Sector 13 Dwarka,,,"5,953",714
Hotel Star,4.3,Excellent,1202,4,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505
Pullman New Delhi International Airport- An Accor Luxury Brand,4.3,Excellent,2197,5,Aerocity ,Indira Gandhi International Airport,4.2 km ,"10,500",
Hotel Aman Continental @ Paharganj,4.3,Excellent,5760,3,Paharganj ,New Delhi Railway Station,390 m ,"2,045",620
"Taj Palace, New Delhi",4.5,Excellent,7913,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.0 km ,"11,500",
Red Fox Hotel Delhi Airport,3.9,Very Good,7509,3,Aerocity ,Indira Gandhi International Airport,4.2 km ,"2,903","1,054"
"Vivanta New Delhi, Dwarka",4.3,Excellent,7707,5,Sector 21 Dwarka,,,"7,100",
The Gold Regency @ Paharganj,4.3,Excellent,2949,3,Paharganj ,New Delhi Railway Station,310 m ,"2,044",620
"Red Brick | Home by Earthaa Escapes
Like a 3",4.2,Very Good,132,,Malviya Nagar,,,"2,548",696
JW Marriott Hotel New Delhi Aerocity,4.5,Excellent,1308,5,Aerocity ,Indira Gandhi International Airport,4.1 km ,"12,800",
Crowne Plaza Rohini,4.3,Excellent,2702,5,Rohini,,,"6,498",
"Park Plaza, Shahdara",3.7,Very Good,3422,5,East Delhi,,,"3,825",
Andaz Delhi - A concept by Hyatt,4.3,Excellent,1272,5,Aerocity ,Indira Gandhi International Airport,3.9 km ,"11,000",
Homestay AC Dormitory at Kashmiri Gate,3.9,Very Good,256,,North Delhi,,,735,229
Zone Connect Saket Delhi,3.9,Very Good,390,5,Saket,,,"5,900","1,205"
Crowne Plaza Okhla,4.3,Excellent,2802,5,Okhla Industrial Area,,,"6,300",
Taurus Sarovar Portico,3.1,Good,845,4,Mahipalpur ,Indira Gandhi International Airport,4.0 km ,"2,976",608
The Leela Palace New Delhi,4.5,Excellent,449,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),8.5 km ,"17,000",
Shangri-La Eros New Delhi,4.4,Excellent,1832,5,Connaught Place ,India Gate,2.3 km ,"12,500",
Sheraton New Delhi,4.5,Excellent,1706,5,Saket,,,"9,500",
"Hyatt Centric Janakpuri, New Delhi",3.6,Very Good,850,5,Janakpuri,,,"5,599",
ITC Maurya - A Luxury Collection Hotel,4.3,Excellent,2009,5,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.4 km ,"11,000",
Le Meridien Delhi,4.2,Very Good,1622,5,Connaught Place ,India Gate,2.1 km ,"12,150",
"Eros Hotel New Delhi ,Nehru Place",4,Very Good,2733,5,Near Nehru Place,,,"4,999",
Jaypee Siddharth Hotel,3.7,Very Good,2052,5,Pusa road ,BLK Hospital,590 m ,"6,299",
